firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Andrew,Whitworth,OL,77,STARTED,2020,32013030-2d30-3032-3432-3730192e1f7d,00-0024270,WHI825900,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Jake,McQuaide,LS,44,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3833-39348364cc5a,00-0028394,MCQ288110,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Johnny,Hekker,P,06,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3838-3732a4291a77,00-0028872,HEK403291,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Michael,Brockers,DL,90,STARTED,2020,32013030-2d30-3032-3936-3330641a3a07,00-0029630,BRO060116,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Robert,Woods,WR,17,STARTED,2020,32013030-2d30-3033-3034-333120799932,00-0030431,WOO561144,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Aaron,Donald,DL,99,STARTED,2020,32013030-2d30-3033-3133-38382795bd8e,00-0031388,DON134977,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Troy,Hill,CB,22,STARTED,2020,32013030-2d30-3033-3137-3835eadaed08,00-0031785,HIL626234,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Malcolm,Brown,RB,34,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3138-30361fd87e06,00-0031806,BRO550137,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Rob,Havenstein,OL,79,STARTED,2020,32013030-2d30-3033-3232-3432bed7bb41,00-0032242,HAV249308,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
Austin,Blythe,OL,66,STARTED,2020,32013030-2d30-3033-3234-353569a96789,00-0032455,BLY611687,Los Angeles Rams,cowboys-at-rams-2020-reg-1,2020-09-14T00:20:00.000Z
