firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Bruce,Miller,FB,49,,2020,32013030-2d30-3032-3831-3439c72dc458,00-0028149,MIL152896,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Abry,Jones,DT,95,STARTED,2020,32013030-2d30-3032-3939-34365bdd84b7,00-0029946,JON026672,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Chris,Thompson,RB,34,,2020,32013030-2d30-3033-3034-3034ec604bfe,00-0030404,THO499404,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Mike,Glennon,QB,02,,2020,32013030-2d30-3033-3035-3230b20b479c,00-0030520,GLE711694,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Tyler,Eifert,TE,88,,2020,32013030-2d30-3033-3035-34394cd7dfb2,00-0030549,EIF131143,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
D.J.,Hayden,CB,25,,2020,32013030-2d30-3033-3035-37326cbdbde9,00-0030572,HAY031145,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Tyler,Shatley,OL,69,STARTED,2020,32013030-2d30-3033-3038-3237ed16183b,00-0030827,SHA509766,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Andrew,Norwell,OL,68,STARTED,2020,32013030-2d30-3033-3131-32321231ca1c,00-0031122,NOR777536,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Timmy,Jernigan,DT,98,,2020,32013030-2d30-3033-3131-3730a64ca334,00-0031170,JER465471,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Cassius,Marsh,DE/LB,54,,2020,32013030-2d30-3033-3131-373553387400,00-0031175,MAR336314,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Brandon,Linder,OL,65,NOT_ACTIVE,2020,32013030-2d30-3033-3133-3639653484ad,00-0031369,LIN175931,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
James,O'Shaughnessy,TE,80,STARTED,2020,32013030-2d30-3033-3139-353149d0ce51,00-0031951,OSH126429,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Chris,Conley,WR,18,STARTED,2020,32013030-2d30-3033-3231-32382075b9f9,00-0032128,CON236839,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
A.J.,Cann,OL,60,STARTED,2020,32013030-2d30-3033-3232-35352c667444,00-0032255,CAN364949,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Myles,Jack,LB,44,STARTED,2020,32013030-2d30-3033-3239-3638a8073d82,00-0032968,JAC008463,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Adam,Gotsis,DE,96,STARTED,2020,32013030-2d30-3033-3330-3634c87a16bb,00-0033064,GOT428790,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Joe,Schobert,LB,47,STARTED,2020,32013030-2d30-3033-3331-323591d44e2c,00-0033125,SCH425646,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Sidney,Jones,DB,35,,2020,32013030-2d30-3033-3335-3433e9d88c50,00-0033543,JON719895,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Keelan,Cole,WR,84,STARTED,2020,32013030-2d30-3033-3336-38312a915020,00-0033681,COL130738,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Dede,Westbrook,WR,12,,2020,32013030-2d30-3033-3338-3339d6d55d49,00-0033839,WES551470,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Dare,Ogunbowale,RB,33,,2020,32013030-2d30-3033-3338-3534c2990bb0,00-0033854,OGU417955,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Cam,Robinson,OL,74,STARTED,2020,32013030-2d30-3033-3338-383952707fd6,00-0033889,ROB373063,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Josh,Jones,CB,29,STARTED,2020,32013030-2d30-3033-3339-3033b857c75a,00-0033903,JON506328,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Dawuane,Smoot,DL,94,,2020,32013030-2d30-3033-3339-30376dfa5f27,00-0033907,SMO474349,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Will,Richardson,OL,76,,2020,32013030-2d30-3033-3433-383058a64672,00-0034380,RIC640708,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Leon,Jacobs,LB,48,STARTED,2020,32013030-2d30-3033-3434-3238b43a5a33,00-0034428,JAC746314,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Logan,Cooke,P,09,,2020,32013030-2d30-3033-3434-3337938e3b67,00-0034437,COO283823,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Tre,Herndon,CB,37,STARTED,2020,32013030-2d30-3033-3435-3136cfe03c95,00-0034516,HER401328,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Kc,McDermott,OL,62,,2020,32013030-2d30-3033-3435-323257b9279c,00-0034522,MCD191817,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
D.J.,Chark,WR,17,NOT_ACTIVE,2020,32013030-2d30-3033-3437-37373924de43,00-0034777,CHA553392,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Taven,Bryan,DL,90,STARTED,2020,32013030-2d30-3033-3438-343263260835,00-0034842,BRY121291,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Jawaan,Taylor,OL,75,STARTED,2020,32013030-2d30-3033-3532-33376a61f247,00-0035237,TAY349425,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Gardner,Minshew,QB,15,STARTED,2020,32013030-2d30-3033-3532-3839c25a936a,00-0035289,MIN604610,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Brandon,Watson,S,40,,2020,32013030-2d30-3033-3533-3735995a9999,00-0035375,WAT311992,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Andrew,Wingard,S,42,STARTED,2020,32013030-2d30-3033-3533-3738e67c4771,00-0035378,WIN207636,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Josh,Allen,DE,41,STARTED,2020,32013030-2d30-3033-3536-34323256afe9,00-0035642,ALL528759,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Dakota,Allen,LB,53,,2020,32013030-2d30-3033-3536-373070e27fb5,00-0035670,ALL094160,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Doug,Costin,DT,58,NOT_ACTIVE,2020,32013030-2d30-3033-3538-323261940fe6,00-0035822,COS761365,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Ross,Matiscik,LS,46,,2020,32013030-2d30-3033-3538-3237859d22ac,00-0035827,MAT311216,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
James,Robinson,RB,30,STARTED,2020,32013030-2d30-3033-3538-3331fa153077,00-0035831,ROB521367,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Brandon,Wright,K,01,,2020,32013030-2d30-3033-3538-333381d7cf99,00-0035833,WRI116406,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
Luq,Barcoo,CB,36,NOT_ACTIVE,2020,32013030-2d30-3033-3631-30311b393aeb,00-0036101,BAR114623,Jacksonville Jaguars,dolphins-at-jaguars-2020-reg-3,2020-09-25T00:20:00.000Z
