firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Aaron,Rodgers,QB,12,STARTED,2020,32013030-2d30-3032-3334-35395dc60da5,00-0023459,ROD339293,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Marcedes,Lewis,TE,89,NOT_ACTIVE,2020,32013030-2d30-3032-3432-34333951f04d,00-0024243,LEW492053,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Mason,Crosby,K,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3535-3830b71d2a71,00-0025580,CRO369933,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Billy,Winn,DL,93,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3933-30334c69c2e8,00-0029303,WIN429360,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Rick,Wagner,T,71,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3938-39336df31166,00-0029893,WAG554943,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
David,Bakhtiari,T,69,STARTED,2020,32013030-2d30-3033-3030-3734bc69065d,00-0030074,BAK787653,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Corey,Linsley,C,63,STARTED,2020,32013030-2d30-3033-3130-3139d8e2428b,00-0031019,LIN775645,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Davante,Adams,WR,17,NOT_ACTIVE,2020,32013030-2d30-3033-3133-383188f79eec,00-0031381,ADA218591,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Billy,Turner,G/T,77,STARTED,2020,32013030-2d30-3033-3134-3333947316fe,00-0031433,TUR164810,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Za'Darius,Smith,LB,55,STARTED,2020,32013030-2d30-3033-3135-3736b7d600c4,00-0031576,SMI827086,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Adrian,Amos,S,31,STARTED,2020,32013030-2d30-3033-3135-3834a8fd34be,00-0031584,AMO568523,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Preston,Smith,LB,91,STARTED,2020,32013030-2d30-3033-3139-3335684d66c3,00-0031935,SMI576520,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Tyler,Ervin,RB,32,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3234-3034f880eafa,00-0032404,ERV286234,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Dean,Lowry,DL,94,STARTED,2020,32013030-2d30-3033-3234-3132b094848f,00-0032412,LOW617631,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Lucas,Patrick,G,62,STARTED,2020,32013030-2d30-3033-3330-3832a408d767,00-0033082,PAT269889,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Kenny,Clark,DL,97,NOT_ACTIVE,2020,32013030-2d30-3033-3331-3230f91cadb7,00-0033120,CLA409251,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Will,Redmond,S,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3331-32347699b14d,00-0033124,RED713301,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Aaron,Jones,RB,33,STARTED,2020,32013030-2d30-3033-3332-3933ed82c0de,00-0033293,JON026624,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Kevin,King,CB,20,STARTED,2020,32013030-2d30-3033-3335-3234d65da3fb,00-0033524,KIN560624,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Robert,Tonyan,TE,85,STARTED,2020,32013030-2d30-3033-3337-353731d69d3c,00-0033757,TON816385,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Montravius,Adams,DL,90,STARTED,2020,32013030-2d30-3033-3339-323977b44841,00-0033929,ADA519824,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Jamaal,Williams,RB,30,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3339-3438708d63ec,00-0033948,WIL328269,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
J.K.,Scott,P,06,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-3632e18627d4,00-0034162,SCO395209,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Hunter,Bradley,LS,43,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-3638ecaf5b8f,00-0034168,BRA208288,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Tim,Boyle,QB,08,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-37377f312969,00-0034177,BOY696580,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Raven,Greene,S,24,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-37399e964d7c,00-0034179,GRE500823,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Tyler,Lancaster,DL,95,STARTED,2020,32013030-2d30-3033-3431-3835ae1e2246,00-0034185,LAN015019,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
Marquez,Valdes-Scantling,WR,83,STARTED,2020,32013030-2d30-3033-3432-3732360353be,00-0034272,VAL142116,Green Bay Packers,falcons-at-packers-2020-reg-4,2020-10-06T01:00:00.000Z
