firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Drew,Brees,QB,09,STARTED,2020,32013030-2d30-3032-3035-33318e1e348d,00-0020531,BRE229498,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Malcolm,Jenkins,S,27,STARTED,2020,32013030-2d30-3032-3639-39302fb5c38b,00-0026990,JEN372222,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Jared,Cook,TE,87,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3730-3631724728ba,00-0027061,COO152641,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Thomas,Morstead,P,06,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3731-3134953fb9f3,00-0027114,MOR758512,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Emmanuel,Sanders,WR,17,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3736-383548509814,00-0027685,SAN295989,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Patrick,Robinson,CB,21,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3738-383274ab5a5d,00-0027882,ROB671457,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Cameron,Jordan,DE,94,STARTED,2020,32013030-2d30-3032-3739-3632e017c382,00-0027962,JOR051224,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Craig,Robertson,LB,52,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3838-333490e08357,00-0028834,ROB304836,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Demario,Davis,LB,56,STARTED,2020,32013030-2d30-3032-3936-3037bf74ff59,00-0029607,DAV262404,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Janoris,Jenkins,CB,20,STARTED,2020,32013030-2d30-3032-3936-383164609c06,00-0029681,JEN268608,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Terron,Armstead,T,72,STARTED,2020,32013030-2d30-3033-3030-3637500ee3d9,00-0030067,ARM089867,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Josh,Hill,TE,89,STARTED,2020,32013030-2d30-3033-3032-3136ad823d70,00-0030216,HIL451418,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Margus,Hunt,DE,95,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3034-3439956fa1bc,00-0030449,HUN320751,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
Latavius,Murray,RB,28,STARTED,2020,32013030-2d30-3033-3035-3133a7a74674,00-0030513,MUR671046,New Orleans Saints,packers-at-saints-2020-reg-3,2020-09-28T00:20:00.000Z
