firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Greg,Olsen,TE,88,STARTED,2020,32013030-2d30-3032-3534-3138dcd6869e,00-0025418,OLS094822,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Duane,Brown,T,76,STARTED,2020,32013030-2d30-3032-3631-3636be82b489,00-0026166,BRO408217,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Mike,Iupati,G,70,STARTED,2020,32013030-2d30-3032-3738-3639a340a0f4,00-0027869,IUP059326,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
K.J.,Wright,LB,50,STARTED,2020,32013030-2d30-3032-3830-333799913aca,00-0028037,WRI487649,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Nick,Bellore,FB,44,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3832-3932f71fca79,00-0028292,BEL740458,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Bruce,Irvin,LB,51,STARTED,2020,32013030-2d30-3032-3931-3933fbe0b03b,00-0029193,IRV115072,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Bobby,Wagner,LB,54,STARTED,2020,32013030-2d30-3032-3932-35359bbd64bb,00-0029255,WAG236381,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Russell,Wilson,QB,03,STARTED,2020,32013030-2d30-3032-3932-363323eefb5c,00-0029263,WIL777781,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Neiko,Thorpe,CB,23,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3933-3239b633fb97,00-0029329,THO820235,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Damontre,Moore,DE,99,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-36397c8cda83,00-0030069,MOO240793,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Luke,Willson,TE,82,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-3839d2c7a50e,00-0030089,WIL747168,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Benson,Mayowa,DE,95,STARTED,2020,32013030-2d30-3033-3033-383070c8a327,00-0030380,MAY692147,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Geno,Smith,QB,07,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3035-3635405348e4,00-0030565,SMI269700,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Carlos,Hyde,RB,30,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3130-3435b2554fb3,00-0031045,HYD402541,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Tyler,Ott,LS,69,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3131-3536eef4070a,00-0031156,OTT034606,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jason,Myers,K,05,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3134-3932f870efc5,00-0031492,MYE407253,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Quandre,Diggs,FS,37,STARTED,2020,32013030-2d30-3033-3136-303883b897cd,00-0031608,DIG202845,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
B.J.,Finney,C/G,67,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3137-3739cf340b11,00-0031779,FIN600441,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Quinton,Dunbar,CB,22,STARTED,2020,32013030-2d30-3033-3230-3037b85a2511,00-0032007,DUN101336,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Phillip,Dorsett,WR,11,NOT_ACTIVE,2020,32013030-2d30-3033-3232-303871573496,00-0032208,DOR488199,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Tyler,Lockett,WR,16,STARTED,2020,32013030-2d30-3033-3232-31312f766863,00-0032211,LOC420915,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Cedric,Ogbuehi,T,74,NOT_ACTIVE,2020,32013030-2d30-3033-3232-3333278ddb86,00-0032233,OGB666101,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jarran,Reed,DT,90,STARTED,2020,32013030-2d30-3033-3233-38376b29fcbd,00-0032387,REE257783,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Brandon,Shell,T,72,STARTED,2020,32013030-2d30-3033-3234-3230431b3af3,00-0032420,SHE288626,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jacob,Hollister,TE,86,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3333-38377b2cc644,00-0033387,HOL292467,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jordan,Simmons,G,66,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3334-34367300d6f1,00-0033446,SIM247783,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
David,Moore,WR,83,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3335-3839c5d25ee7,00-0033589,MOO249444,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Chris,Carson,RB,32,STARTED,2020,32013030-2d30-3033-3335-3934a43342ea,00-0033594,CAR568144,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jamal,Adams,SS,33,STARTED,2020,32013030-2d30-3033-3338-373248bdb287,00-0033872,ADA392115,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Ethan,Pocic,G/C,77,STARTED,2020,32013030-2d30-3033-3339-3031639b7a86,00-0033901,POC303385,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Shaquill,Griffin,CB,26,STARTED,2020,32013030-2d30-3033-3339-3236204df980,00-0033926,GRI296565,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Delano,Hill,SS,42,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3339-33311c195518,00-0033931,HIL170556,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Will,Dissly,TE,89,STARTED,2020,32013030-2d30-3033-3431-353947f92d56,00-0034159,DIS743152,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Michael,Dickson,P,04,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-3630c0b58aef,00-0034160,DIC718404,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Poona,Ford,DT,97,STARTED,2020,32013030-2d30-3033-3432-3334dab6fe99,00-0034234,FOR313563,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jamarco,Jones,T,73,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3437-3239a76b65b6,00-0034729,JON404567,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Tre,Flowers,CB,21,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3437-3536c6459729,00-0034756,FLO000000,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Rasheem,Green,DE,94,NOT_ACTIVE,2020,32013030-2d30-3033-3438-3331125bac22,00-0034831,GRE330410,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Penny,Hart,WR,19,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3530-3232babf32f1,00-0035022,HAR695794,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Bryan,Mone,DT,92,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3530-3934b99b8839,00-0035094,MON149961,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Marquise,Blair,FS,27,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3531-3339cc38689b,00-0035139,BLA514764,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Ugochukwu,Amadi,FS,28,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3531-34325180ba8e,00-0035142,AMA296635,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Ben,Burr-Kirven,LB,55,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3531-3433bd91fdc0,00-0035143,BUR561396,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
D'Andre,Walker,LB,59,NOT_ACTIVE,2020,32013030-2d30-3033-3532-3834b583646d,00-0035284,WAL093491,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Anthony,Rush,DT,63,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3533-3930a96e56dc,00-0035390,RUS011491,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Travis,Homer,RB,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3535-3934913d6b3d,00-0035594,HOM655558,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
L.J.,Collier,DE,91,STARTED,2020,32013030-2d30-3033-3536-33364c1ad0c1,00-0035636,COL214397,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
DK,Metcalf,WR,14,STARTED,2020,32013030-2d30-3033-3536-343097915ff1,00-0035640,MET363377,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Cody,Barton,LB,57,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3536-3732a352fe91,00-0035672,BAR763281,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Freddie,Swain,WR,18,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-343730bcd303,00-0036247,SWA086661,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Jordyn,Brooks,LB,56,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3634-3039935e40dc,00-0036409,BRO131962,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
Damien,Lewis,G,68,STARTED,2020,32013030-2d30-3033-3634-31378ee01de9,00-0036417,LEW128690,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
DeeJay,Dallas,RB,31,NOT_ACTIVE,2020,32013030-2d30-3033-3634-32356f3936bc,00-0036425,DAL415290,Seattle Seahawks,patriots-at-seahawks-2020-reg-2,2020-09-21T00:20:00.000Z
