firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Chad,Henne,QB,04,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3631-3937880c57ee,00-0026197,HEN507580,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Anthony,Sherman,FB,42,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3830-3734a4e598e7,00-0028074,SHE644991,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Daniel,Kilgore,C,67,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3831-303140db4648,00-0028101,KIL245064,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Mike,Remmers,T,75,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3931-36343976525a,00-0029164,REM320232,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Mitchell,Schwartz,T,71,STARTED,2020,32013030-2d30-3032-3932-35335aabe869,00-0029253,SCH763124,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Kelechi,Osemele,G,70,STARTED,2020,32013030-2d30-3032-3932-3539a23c5fe6,00-0029259,OSE406291,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Tyrann,Mathieu,S,32,STARTED,2020,32013030-2d30-3033-3034-353931f5eb98,00-0030459,MAT195206,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Alex,Okafor,DE,57,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3035-30335ddfaae5,00-0030503,OKA207645,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Travis,Kelce,TE,87,STARTED,2020,32013030-2d30-3033-3035-3036654ef292,00-0030506,KEL012458,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Eric,Fisher,T,72,STARTED,2020,32013030-2d30-3033-3035-38349e1843d7,00-0030584,FIS336183,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
James,Winchester,LS,41,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3036-3135eb3c59a2,00-0030615,WIN034202,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Daniel,Sorensen,S,49,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3036-363524b99d3d,00-0030665,SOR181831,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Mike,Pennel,DT,64,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3037-3537fc747f2e,00-0030757,PEN320554,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Bashaud,Breeland,DB,21,STARTED,2020,32013030-2d30-3033-3130-353214e9421d,00-0031052,BRE183598,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Sammy,Watkins,WR,14,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3133-32353107e672,00-0031325,WAT270480,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Anthony,Hitchens,LB,53,STARTED,2020,32013030-2d30-3033-3133-3438c1f19e97,00-0031348,HIT298611,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Austin,Reiter,C,62,STARTED,2020,32013030-2d30-3033-3139-3538afb4e2ec,00-0031958,REI765747,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Frank,Clark,DE,55,STARTED,2020,32013030-2d30-3033-3232-31304c6157c4,00-0032210,CLA296952,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Damien,Wilson,LB,54,STARTED,2020,32013030-2d30-3033-3232-31356a0dd6ec,00-0032215,WIL664778,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Chris,Jones,DT,95,STARTED,2020,32013030-2d30-3033-3237-36323fb388ef,00-0032762,JON162595,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
Demarcus,Robinson,WR,11,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3237-373580910f3e,00-0032775,ROB399065,Kansas City Chiefs,raiders-at-chiefs-2020-reg-5,2020-10-11T17:00:00.000Z
