firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
J.J.,Jansen,LS,44,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3630-32372e34eeff,00-0026027,JAN681650,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Russell,Okung,T,76,STARTED,2020,32013030-2d30-3032-3738-35393280a793,00-0027859,OKU444955,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Julian,Stanford,LB,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3930-3631896fc029,00-0029061,STA425500,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Tahir,Whitehead,LB,52,STARTED,2020,32013030-2d30-3032-3932-3132a04895f8,00-0029212,WHI627494,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Kawann,Short,DT,99,STARTED,2020,32013030-2d30-3033-3034-343818f5686c,00-0030448,SHO598059,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Tyler,Larsen,C,69,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3038-3639233ab133,00-0030869,LAR424403,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Zach,Kerr,NT,92,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3131-30358a9442d4,00-0031105,KER593782,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Adarius,Taylor,LB,57,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3131-32302a2f1f0a,00-0031120,GLA303597,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Seth,Roberts,WR,15,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3131-3636f0071728,00-0031166,ROB240370,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Teddy,Bridgewater,QB,05,STARTED,2020,32013030-2d30-3033-3132-3337a759b614,00-0031237,BRI129168,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Tre,Boston,DB,33,STARTED,2020,32013030-2d30-3033-3132-3631e5be2cea,00-0031261,BOS695248,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Matt,Paradis,C,61,STARTED,2020,32013030-2d30-3033-3133-34394f107e3b,00-0031349,PAR002722,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Michael,Schofield,T,75,STARTED,2020,32013030-2d30-3033-3133-3533f3c4b194,00-0031353,SCH444668,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Chris,Manhertz,TE,82,STARTED,2020,32013030-2d30-3033-3134-3834c746ce64,00-0031484,MAN285874,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Efe,Obada,DE,94,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3135-303093b35763,00-0031500,OBA109286,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Shaq,Thompson,LB,54,STARTED,2020,32013030-2d30-3033-3135-353083b23e2f,00-0031550,GRE573058,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Mike,Davis,RB,28,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3230-363349f76498,00-0032063,DAV567050,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
John,Miller,G,67,STARTED,2020,32013030-2d30-3033-3231-3439de8ed1aa,00-0032149,MIL330317,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Juston,Burris,DB,31,STARTED,2020,32013030-2d30-3033-3234-303349c0b79f,00-0032403,BUR608462,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
Stephen,Weatherly,DE,91,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3234-343885cb065e,00-0032448,WEA206755,Carolina Panthers,raiders-at-panthers-2020-reg-1,2020-09-13T17:00:00.000Z
