firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Andre,Roberts,WR,18,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3736-393138b8a13c,00-0027691,ROB102317,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Jerry,Hughes,DE,55,STARTED,2020,32013030-2d30-3032-3738-383180d4172d,00-0027881,HUG532081,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Taiwan,Jones,RB,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3830-363385ab36a6,00-0028063,JON731670,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Lee,Smith,TE,85,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3830-3937bb2f57ff,00-0028097,SMI480240,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Mario,Addison,DE,97,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3833-3339b613b9ab,00-0028339,ADD494264,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Cole,Beasley,WR,11,STARTED,2020,32013030-2d30-3032-3930-3030d51d6c94,00-0029000,BEA434808,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Ty,Nsekhe,T,77,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3937-30392ebe2880,00-0029709,NSE355964,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Brian,Winters,G,66,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-3636f9831656,00-0030066,WIN742785,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Micah,Hyde,S,23,STARTED,2020,32013030-2d30-3033-3030-3930ad080127,00-0030090,HYD422041,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Jordan,Poyer,S,21,STARTED,2020,32013030-2d30-3033-3031-3134f5a428b5,00-0030114,POY177981,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Deon,Lacey,LB,40,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3031-3937c79659a6,00-0030197,LAC107454,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
A.J.,Klein,LB,54,STARTED,2020,32013030-2d30-3033-3034-3633fea3232f,00-0030463,KLE216860,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Matt,Barkley,QB,05,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3035-3333e8333411,00-0030533,BAR192558,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
John,Brown,WR,15,STARTED,2020,32013030-2d30-3033-3130-35315f0457e5,00-0031051,BRO494712,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Trent,Murphy,DE,93,STARTED,2020,32013030-2d30-3033-3133-30303dafaa02,00-0031300,MUR524597,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Daryl,Williams,OL,75,STARTED,2020,32013030-2d30-3033-3135-36377d7d0074,00-0031567,WIL208701,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Stefon,Diggs,WR,14,STARTED,2020,32013030-2d30-3033-3135-383848cdfbb6,00-0031588,DIG218895,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Dean,Marlowe,S,31,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3138-3730f366f81d,00-0031870,MAR268763,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Mitch,Morse,C,60,STARTED,2020,32013030-2d30-3033-3139-3336eb5a13f0,00-0031936,MOR734298,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
Quinton,Spain,G,67,STARTED,2020,32013030-2d30-3033-3230-34336440315d,00-0032043,SPA236508,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
T.J.,Yeldon,RB,22,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3232-30396041922e,00-0032209,YEL060186,Buffalo Bills,rams-at-bills-2020-reg-3,2020-09-27T17:00:00.000Z
