firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Alex,Smith,QB,11,,2020,32013030-2d30-3032-3334-3336b638d37d,00-0023436,SMI031126,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Thomas,Davis,LB,58,,2020,32013030-2d30-3032-3334-343878a96a3b,00-0023448,DAV768681,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Nick,Sundberg,LS,57,,2020,32013030-2d30-3032-3637-3134b4545845,00-0026714,SUN263361,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Ryan,Kerrigan,DE,91,,2020,32013030-2d30-3032-3739-3534bcfdd687,00-0027954,KER630730,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Dontrelle,Inman,WR,80,STARTED,2020,32013030-2d30-3032-3834-3131ecbba609,00-0028411,INM264861,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Jon,Bostic,LB,53,STARTED,2020,32013030-2d30-3033-3030-3634ae6893cd,00-0030064,BOS528427,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Dustin,Hopkins,K,03,,2020,32013030-2d30-3033-3030-39382742cd86,00-0030098,HOP165345,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Tress,Way,P,05,,2020,32013030-2d30-3033-3031-3430b5e6e73a,00-0030140,WAY228645,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Cornelius,Lucas,T,78,,2020,32013030-2d30-3033-3037-3235295e76a7,00-0030725,LUC054659,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Logan,Thomas,TE,82,STARTED,2020,32013030-2d30-3033-3132-3630bcfffd57,00-0031260,THO296280,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Kevin,Pierre-Louis,LB,54,STARTED,2020,32013030-2d30-3033-3133-3038db393235,00-0031308,PIE584019,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Morgan,Moses,T,76,STARTED,2020,32013030-2d30-3033-3133-3330c6deaf71,00-0031330,MOS280929,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Nate,Orchard,DE,59,,2020,32013030-2d30-3033-3135-3536d4b74086,00-0031556,ORC266972,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Deshazor,Everett,S,22,,2020,32013030-2d30-3033-3138-34344b4501a5,00-0031844,EVE115531,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Ronald,Darby,CB,23,STARTED,2020,32013030-2d30-3033-3231-3935e97b369f,00-0032195,DAR187187,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Landon,Collins,S,26,STARTED,2020,32013030-2d30-3033-3232-3632b96a69a3,00-0032262,COL624212,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Wes,Schweitzer,G,71,STARTED,2020,32013030-2d30-3033-3234-3332dbce1fe4,00-0032432,SCH821050,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
J.D.,McKissic,RB,41,STARTED,2020,32013030-2d30-3033-3236-30322d61541e,00-0032602,MCK692580,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Peyton,Barber,RB,34,,2020,32013030-2d30-3033-3237-3431ad76d35e,00-0032741,BAR077733,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Jared,Norris,LB,50,NOT_ACTIVE,2020,32013030-2d30-3033-3239-3938c591237d,00-0032998,NOR463803,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Kendall,Fuller,CB,29,STARTED,2020,32013030-2d30-3033-3330-3834935c5b0e,00-0033084,FUL342614,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Temarrick,Hemingway,TE,88,,2020,32013030-2d30-3033-3331-3132cc16f262,00-0033112,HEM189859,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Joshua,Garnett,G,63,,2020,32013030-2d30-3033-3331-3531fe72c30c,00-0033151,GAR340060,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Jonathan,Allen,DT,93,STARTED,2020,32013030-2d30-3033-3335-3233b32a7355,00-0033523,ALL512725,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Ryan,Anderson,DE,52,,2020,32013030-2d30-3033-3335-3235d88bcc2d,00-0033525,AND384426,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Jeremy,Sprinkle,TE,87,,2020,32013030-2d30-3033-3335-323861371214,00-0033528,SPR573222,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Chase,Roullier,C,73,STARTED,2020,32013030-2d30-3033-3335-323971c51804,00-0033529,ROU143143,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Fabian,Moreau,CB,25,,2020,32013030-2d30-3033-3339-3138c4bfa8d0,00-0033918,MOR095343,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
David,Sharpe,T,72,,2020,32013030-2d30-3033-3339-34368e937ca0,00-0033946,SHA433393,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Danny,Johnson,CB,32,,2020,32013030-2d30-3033-3430-3731c2ebf0d1,00-0034071,JOH165289,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Cam,Sims,WR,89,,2020,32013030-2d30-3033-3431-3034a561edc4,00-0034104,SIM667389,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Marcus,Baugh,TE,85,NOT_ACTIVE,2020,32013030-2d30-3033-3431-363945c342cb,00-0034169,BAU227933,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Da'Ron,Payne,DT,94,STARTED,2020,32013030-2d30-3033-3433-33333512bb16,00-0034333,PAY281222,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Troy,Apke,S,30,STARTED,2020,32013030-2d30-3033-3433-33342c1977a5,00-0034334,APK428041,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Shaun Dion,Hamilton,LB,51,STARTED,2020,32013030-2d30-3033-3433-3336ef84cb7f,00-0034336,HAM345530,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Greg,Stroman,CB,37,NOT_ACTIVE,2020,32013030-2d30-3033-3433-3337dbd14257,00-0034337,STR594753,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Tim,Settle,DT,97,,2020,32013030-2d30-3033-3433-39379f390444,00-0034397,SET509598,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Kyle,Allen,QB,08,STARTED,2020,32013030-2d30-3033-3435-37371bc48d7c,00-0034577,ALL543234,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Geron,Christian,T,74,STARTED,2020,32013030-2d30-3033-3438-3137496f8400,00-0034817,CHR356698,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Dwayne,Haskins,QB,07,NOT_ACTIVE,2020,32013030-2d30-3033-3532-33323372c856,00-0035232,HAS285847,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Wes,Martin,G,67,STARTED,2020,32013030-2d30-3033-3532-36332281e496,00-0035263,MAR763142,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
Cole,Holcomb,LB,55,NOT_ACTIVE,2020,32013030-2d30-3033-3532-3836f1040620,00-0035286,HOL006318,Washington Football Team,rams-at-football-team-2020-reg-5,2020-10-11T17:00:00.000Z
