firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Don,Muhlbach,LS,48,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3234-35359d5f9fd7,00-0022455,MUH609435,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Matt,Prater,K,05,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3338-35338ddfcccf,00-0023853,PRA143616,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Adrian,Peterson,RB,28,STARTED,2020,32013030-2d30-3032-3533-3934ceb6c025,00-0025394,PET260705,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Danny,Amendola,WR,80,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3630-33356909a613,00-0026035,AME359918,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Matthew,Stafford,QB,09,STARTED,2020,32013030-2d30-3032-3634-39382e08c011,00-0026498,STA134157,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Chase,Daniel,QB,04,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3635-3434e5fd94ff,00-0026544,DAN230354,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Kenny,Wiggins,G,79,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3832-34301710f2b0,00-0028240,WIG184866,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Marvin,Jones,WR,11,STARTED,2020,32013030-2d30-3032-3932-3933c267e06d,00-0029293,JON601697,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Oday,Aboushi,OL,76,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-3833a3a178ec,00-0030083,ABO652601,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Duron,Harmon,S,26,STARTED,2020,32013030-2d30-3033-3033-3833a037e9e5,00-0030383,HAR195786,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
Jamie,Collins,LB,58,STARTED,2020,32013030-2d30-3033-3034-3231ceb381de,00-0030421,COL607549,Detroit Lions,saints-at-lions-2020-reg-4,2020-10-04T17:00:00.000Z
