firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Demar,Dotson,T,78,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3638-31344f92b139,00-0026814,DOT277798,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Kareem,Jackson,CB,22,STARTED,2020,32013030-2d30-3032-3738-3732b0b6440e,00-0027872,JAC283467,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Von,Miller,LB,58,NOT_ACTIVE,2020,32013030-2d30-3032-3739-3430be72e8de,00-0027940,MIL597654,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Jurrell,Casey,DT,99,STARTED,2020,32013030-2d30-3032-3830-3135e8634a8a,00-0028015,CAS224804,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Mark,Barron,DB,42,NOT_ACTIVE,2020,32013030-2d30-3032-3936-37306f3ce17e,00-0029670,BAR661788,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Brandon,McManus,K,08,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3938-323246544812,00-0029822,MCM226186,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Mike,Purcell,NT,98,STARTED,2020,32013030-2d30-3032-3938-3930af4db4f9,00-0029890,PUR087672,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Sam,Martin,P,06,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-39326221cfca,00-0030092,MAR720548,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
A.J.,Bouye,DB,21,STARTED,2020,32013030-2d30-3033-3032-3238414cf97a,00-0030228,BOU651714,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Jeremiah,Attaochu,LB,97,STARTED,2020,32013030-2d30-3033-3132-35385aa10fc4,00-0031258,ATT290361,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Shelby,Harris,DE,96,STARTED,2020,32013030-2d30-3033-3132-3730cec37d9d,00-0031270,HAR536152,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Diontae,Spencer,WR,11,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3133-31391b4b09ee,00-0031319,SPE464206,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Bryce,Callahan,CB,29,STARTED,2020,32013030-2d30-3033-3139-3034efea5f3c,00-0031904,CAL520433,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Melvin,Gordon,RB,25,STARTED,2020,32013030-2d30-3033-3231-343457f8448b,00-0032144,GOR275321,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Nick,Vannett,TE,88,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3233-393431c33be1,00-0032394,VAN643509,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Graham,Glasgow,C,61,STARTED,2020,32013030-2d30-3033-3233-393532d3da31,00-0032395,GLA349413,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Jeff,Driskel,QB,09,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3234-33369707963e,00-0032436,DRI392790,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Justin,Simmons,DB,31,STARTED,2020,32013030-2d30-3033-3239-3731b9d710ff,00-0032971,SIM248681,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Tim,Patrick,WR,81,STARTED,2020,32013030-2d30-3033-3333-3735fe3e4652,00-0033375,PAT283375,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Austin,Calitro,ILB,53,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3334-3532d1a2b6b1,00-0033452,CAL465470,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Garett,Bolles,T,72,STARTED,2020,32013030-2d30-3033-3335-3338dca55fad,00-0033538,BOL532335,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Jake,Butt,TE,80,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3335-3634a6f5865e,00-0033564,BUT702407,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Joseph,Jones,LB,43,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3336-3539e5a8ac7c,00-0033659,JON496790,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Elijah,Wilkinson,T,68,STARTED,2020,32013030-2d30-3033-3336-3736298935a5,00-0033676,WIL099353,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
DeMarcus,Walker,DE,57,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3337-38325fb9da01,00-0033782,WAL115858,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Phillip,Lindsay,RB,30,STARTED,2020,32013030-2d30-3033-3431-303940be801e,00-0034109,LIN303086,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Trey,Marshall,DB,36,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-31316a0d0858,00-0034111,MAR466759,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
Austin,Schlottmann,G,71,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3431-3132900da55e,00-0034112,SCH243742,Denver Broncos,titans-at-broncos-2020-reg-1,2020-09-15T02:20:00.000Z
