firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Philip,Rivers,QB,17,STARTED,2020,32013030-2d30-3032-3239-34322bc30020,00-0022942,RIV651634,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Anthony,Castonzo,T,74,STARTED,2020,32013030-2d30-3032-3739-363035ad1bdc,00-0027960,CAS792239,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Justin,Houston,DE,50,STARTED,2020,32013030-2d30-3032-3830-30385a66c5e4,00-0028008,HOU476949,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Tavon,Wilson,S,31,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3934-3130acb3f0c4,00-0029410,WIL791595,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
T.Y.,Hilton,WR,13,STARTED,2020,32013030-2d30-3032-3936-30385788c9a5,00-0029608,HIL775449,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jack,Doyle,TE,84,NOT_ACTIVE,2020,32013030-2d30-3033-3031-3831dd11abdd,00-0030181,DOY403968,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Xavier,Rhodes,DB,27,STARTED,2020,32013030-2d30-3033-3035-3735b599af52,00-0030575,RHO552860,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Denico,Autry,DT/DE,96,STARTED,2020,32013030-2d30-3033-3132-353442e46153,00-0031254,AUT529722,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
T.J.,Carrie,CB,38,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3132-3639766122e4,00-0031269,CAR470432,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Mark,Glowinski,G,64,STARTED,2020,32013030-2d30-3033-3135-3831c34d7bb6,00-0031581,GLO738436,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Chaz,Green,T,75,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3232-3034868ca8ac,00-0032204,GRE118131,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
DeForest,Buckner,DT,99,STARTED,2020,32013030-2d30-3033-3233-3738a754a427,00-0032378,BUC768760,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Ryan,Kelly,C,78,STARTED,2020,32013030-2d30-3033-3233-383312460536,00-0032383,KEL738596,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Luke,Rhodes,LS,46,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3237-3533bb0e04ce,00-0032753,RHO474400,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Le'Raven,Clark,T,62,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3330-36357e0e80f3,00-0033065,CLA432150,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jacoby,Brissett,QB,07,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3331-3139ba7e51e2,00-0033119,BRI516391,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Mo,Alie-Cox,TE,81,STARTED,2020,32013030-2d30-3033-3332-31373e79a326,00-0033217,ALI177980,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Zach,Pascal,WR,14,STARTED,2020,32013030-2d30-3033-3332-3531a1077ea2,00-0033251,PAS035497,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Rigoberto,Sanchez,P,08,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3332-363932ac56e5,00-0033269,SAN093508,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Kenny,Moore,DB,23,STARTED,2020,32013030-2d30-3033-3333-393382d4ba0b,00-0033393,MOO465364,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Anthony,Walker,LB,54,STARTED,2020,32013030-2d30-3033-3335-3730e591db80,00-0033570,WAL077409,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Eli,Ankou,DT,79,NOT_ACTIVE,2020,32013030-2d30-3033-3335-3938af6a3a40,00-0033598,ANK339333,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Malik,Hooker,S,29,STARTED,2020,32013030-2d30-3033-3338-3737241ce52e,00-0033877,HOO298753,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Grover,Stewart,DT,90,STARTED,2020,32013030-2d30-3033-3339-3532b42e1aff,00-0033952,STE757436,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Al-Quadin,Muhammad,DE,97,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3339-3634ebef6075,00-0033964,MUH405540,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
George,Odum,S,30,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3430-3931c1974e30,00-0034091,ODU401791,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Taylor,Stallworth,DT,76,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-3235b1a40824,00-0034325,STA306360,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Quenton,Nelson,G/C,56,STARTED,2020,32013030-2d30-3033-3433-34327f32df79,00-0034342,NEL600785,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Tyquan,Lewis,DT/DE,94,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-35399055bb28,00-0034359,LEW752680,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Nyheim,Hines,RB,21,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-3637b2402e26,00-0034367,HIN226970,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Daurice,Fountain,WR,10,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3433-39355fa1d7c0,00-0034395,FOU164323,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jordan,Wilkins,RB,20,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3434-303045986240,00-0034400,WIL088337,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Matthew,Adams,LB,49,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3434-323431944140,00-0034424,ADA499253,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Zaire,Franklin,LB,44,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3434-333161a4cdd9,00-0034431,FRA561925,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Braden,Smith,T/G,72,STARTED,2020,32013030-2d30-3033-3438-3336361c65fc,00-0034836,SMI080765,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Darius,Leonard,LB,53,STARTED,2020,32013030-2d30-3033-3438-3436a77118de,00-0034846,LEO425070,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Ben,Banogu,DE,52,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3439-36395fbdd01a,00-0034969,BAN737249,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
E.J.,Speed,LB,45,NOT_ACTIVE,2020,32013030-2d30-3033-3439-3837da66b039,00-0034987,SPE175382,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Ashton,Dulin,WR,16,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3530-32318bcae2be,00-0035021,DUL521764,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Khari,Willis,S,37,STARTED,2020,32013030-2d30-3033-3535-3330411dab8a,00-0035530,WIL605004,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Rock,Ya-Sin,DB,26,NOT_ACTIVE,2020,32013030-2d30-3033-3536-3337c19c80d4,00-0035637,YAS738004,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Parris,Campbell,WR,15,STARTED,2020,32013030-2d30-3033-3536-3339124ebd06,00-0035639,CAM230411,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Bobby,Okereke,LB,58,STARTED,2020,32013030-2d30-3033-3536-383779022a97,00-0035687,OKE400459,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Rodrigo,Blankenship,K,03,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3538-3439202543be,00-0035849,BLA736676,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Farrod,Green,TE,41,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3538-3532a8c53642,00-0035852,GRE198079,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Noah,Togiai,TE,86,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3630-30359a150715,00-0036005,TOG307886,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Danny,Pinter,G,63,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-313522a5b28c,00-0036215,PIN822310,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Isaiah,Rodgers,CB,34,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-3232bcc0f30f,00-0036222,ROD368010,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jonathan,Taylor,RB,28,STARTED,2020,32013030-2d30-3033-3632-3233dbc7de0b,00-0036223,TAY431618,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jacob,Eason,QB,09,NOT_ACTIVE,2020,32013030-2d30-3033-3632-32363867c32d,00-0036226,EAS382386,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Dezmon,Patmon,WR,85,NOT_ACTIVE,2020,32013030-2d30-3033-3632-32385e4df35b,00-0036228,PAT162967,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Jordan,Glasgow,LB,59,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-3239741c533c,00-0036229,GLA360070,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Michael,Pittman,WR,11,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-35327f77a5bd,00-0036252,PIT228050,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Julian,Blackmon,S,32,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3632-35337fc6921c,00-0036253,BLA283027,Indianapolis Colts,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Britton,Colquitt,P,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3635-31361c4d7f0a,00-0026516,COL753921,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Kyle,Rudolph,TE,82,STARTED,2020,32013030-2d30-3032-3739-383145dad36a,00-0027981,RUD559717,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Dan,Bailey,K,05,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3836-3630e498e688,00-0028660,BAI159977,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Kirk,Cousins,QB,08,STARTED,2020,32013030-2d30-3032-3936-303492e9d55e,00-0029604,COU709400,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Harrison,Smith,S,22,STARTED,2020,32013030-2d30-3032-3936-30366a1af096,00-0029606,SMI317465,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Riley,Reiff,T,71,STARTED,2020,32013030-2d30-3032-3936-37328a375fb3,00-0029672,REI392998,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Adam,Thielen,WR,19,STARTED,2020,32013030-2d30-3033-3030-3335960ad201,00-0030035,THI510348,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Dakota,Dozier,G,78,STARTED,2020,32013030-2d30-3033-3130-3137afe8f628,00-0031017,DOZ290704,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Shamar,Stephen,NT,93,STARTED,2020,32013030-2d30-3033-3132-3432cb806d36,00-0031242,STE351003,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Anthony,Barr,LB,55,STARTED,2020,32013030-2d30-3033-3132-35365e470a5e,00-0031256,BAR550678,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Brett,Jones,T,61,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3134-3839ef529c84,00-0031489,JON106470,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
Eric,Kendricks,LB,54,STARTED,2020,32013030-2d30-3033-3135-353413ebca60,00-0031554,KEN101224,Minnesota Vikings,vikings-at-colts-2020-reg-2,2020-09-20T17:00:00.000Z
