firstName,lastName,position,jerseyNumber,status,seasonId,id,gsisId,esbId,fullName,slug,gameTime
Jonathan,Weeks,LS,46,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3732-3234bf84ae94,00-0027224,WEE504348,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
J.J.,Watt,DE,99,STARTED,2020,32013030-2d30-3032-3739-34398f0874d6,00-0027949,WAT579210,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Randall,Cobb,WR,18,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3830-303218eca9b5,00-0028002,COB365535,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Michael,Thomas,S,28,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3839-3038adb398e6,00-0028908,THO308948,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Senio,Kelemete,G,64,STARTED,2020,32013030-2d30-3032-3935-343632832cb9,00-0029546,KEL019379,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Whitney,Mercilus,OLB,59,STARTED,2020,32013030-2d30-3032-3936-3433e2722e23,00-0029643,MER110570,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Bryan,Anger,P,09,PLAYER_SUBSTITUTE,2020,32013030-2d30-3032-3936-3932e2de638d,00-0029692,ANG280911,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Darren,Fells,TE,87,STARTED,2020,32013030-2d30-3032-3937-33382a9a88e7,00-0029738,FEL484741,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Kenny,Stills,WR,12,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3030-383513d39aa7,00-0030085,STI417540,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Zach,Fulton,C/G,73,STARTED,2020,32013030-2d30-3033-3039-39373ded1aee,00-0030997,FUL770022,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Phillip,Gaines,CB,29,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3130-3135bbd10997,00-0031015,GAI428981,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Brent,Qvale,G/T,76,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3130-33316cc75a8f,00-0031031,QVA373627,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Brandon,Dunn,DT,92,STARTED,2020,32013030-2d30-3033-3131-3237adf1480b,00-0031127,DUN512273,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Brandin,Cooks,WR,13,STARTED,2020,32013030-2d30-3033-3132-333658a3c4ba,00-0031236,COO299382,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
A.J.,McCarron,QB,02,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3132-38386b3121bc,00-0031288,MCC176481,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Bradley,Roby,CB,21,STARTED,2020,32013030-2d30-3033-3133-3732e5391a03,00-0031372,ROB805749,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Benardrick,McKinney,ILB,55,STARTED,2020,32013030-2d30-3033-3135-35337f677217,00-0031553,MCK465206,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
DeAndre,Carter,WR,14,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3137-36332a66fa20,00-0031763,CAR641798,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Tyrell,Adams,ILB,50,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3230-3934a796de1d,00-0032094,ADA679872,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
David,Johnson,RB,31,STARTED,2020,32013030-2d30-3033-3231-3837af32a123,00-0032187,JOH174477,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Duke,Johnson,RB,25,PLAYER_SUBSTITUTE,2020,32013030-2d30-3033-3232-3537f7a6ee8b,00-0032257,JOH000009,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
Laremy,Tunsil,T,78,STARTED,2020,32013030-2d30-3033-3233-383071000d20,00-0032380,TUN565442,Houston Texans,vikings-at-texans-2020-reg-4,2020-10-04T17:00:00.000Z
